cc_num,mean_spend,std_spend,spend_cv,txn_frequency,weekend_ratio,late_night_ratio,pct_food,pct_travel,pct_leisure,pct_health,merchant_diversity,large_txn_ratio,monthly_spend_cv,txn_regularity,spend_trend
60416207185,58.633,141.66,2.416045,91.125,0.321321,0.298473,0.214128,0.156248,0.255265,0.045999,0.293553,0.676569,0.438807,0.726974,132.0687
60422928733,62.4144,77.193,1.236782,91.1667,0.319467,0.326902,0.27469,0.122871,0.184048,0.044161,0.286563,0.59253,0.362703,0.723012,60.7138
60423098130,91.3839,1004.9975,10.997535,30.3333,0.598551,0.174522,0.164441,0.488407,0.099618,0.035444,0.582418,0.787068,2.012567,0.476207,133.7908
60427851591,96.3202,91.2476,0.947336,30.375,0.317974,0.261056,0.193076,0.262503,0.252419,0.057742,0.59808,0.480383,0.356739,0.482789,36.386
60487002085,57.0845,132.0183,2.312682,30.2917,0.322019,0.276777,0.20486,0.197859,0.13478,0.072435,0.6011,0.67317,0.577061,0.487101,60.2669
60490596305,66.3331,110.1784,1.660986,60.625,0.337731,0.301797,0.262107,0.144254,0.224003,0.047329,0.390378,0.667734,0.439374,0.637746,42.8452
60495593109,56.6095,62.7743,1.108901,30.4167,0.376465,0.307076,0.273416,0.125461,0.169391,0.039473,0.591781,0.598492,0.2595,0.469239,21.0324
501802953619,62.8518,168.4498,2.680109,91.125,0.376871,0.372116,0.250627,0.214028,0.194676,0.057578,0.283951,0.668852,0.574665,0.72801,62.5205
501828204849,62.0615,111.8835,1.802784,30.2083,0.34203,0.275144,0.223711,0.173039,0.233474,0.054418,0.594483,0.67181,0.385569,0.484291,26.5078
501831082224,55.6211,70.2644,1.263268,60.7083,0.370431,0.352019,0.25133,0.15759,0.161054,0.063595,0.396019,0.634025,0.32879,0.633854,22.3754
501882822387,65.2425,156.693,2.401702,30.4167,0.296354,0.363169,0.225206,0.119846,0.256603,0.030982,0.59589,0.656359,0.539012,0.474319,23.1853
501899453424,65.4379,163.4108,2.497189,91.0417,0.311066,0.326394,0.236498,0.206326,0.169896,0.040266,0.291076,0.63874,0.495158,0.722424,143.6133
502012776709,60.4117,95.199,1.575837,121.25,0.305011,0.325851,0.252676,0.168782,0.210465,0.058661,0.222337,0.658647,0.394977,0.768932,174.6142
502038091380,92.4692,82.5001,0.892191,91.0833,0.286215,0.285198,0.202863,0.215715,0.274746,0.060235,0.291857,0.45909,0.308261,0.733515,129.1383
